packet_counter,encrypt_time_ns,encrypt_time_us
1,1542133,1542.133
2,98535,98.535
3,133562,133.562
4,105529,105.529
5,86392,86.392
6,88139,88.139
7,107473,107.473
8,81906,81.906
9,98348,98.348
10,74944,74.944
11,68479,68.479
12,70844,70.844
13,72002,72.002
14,78839,78.839
15,68222,68.222
16,59766,59.766
17,69330,69.33
18,63300,63.3
19,72155,72.155
20,90158,90.158
21,94825,94.825
22,86096,86.096
23,62523,62.523
24,76340,76.34
25,402867,402.867
26,347217,347.217
27,71698,71.698
28,104354,104.354
29,78153,78.153
30,378388,378.388
31,218332,218.332
32,94507,94.507
33,83310,83.31
34,83116,83.116
35,70033,70.033
36,57937,57.937
37,324144,324.144
38,75970,75.97
39,62199,62.199
40,81180,81.18
41,57411,57.411
42,63479,63.479
43,78533,78.533
44,88179,88.179
45,69027,69.027
46,67955,67.955
47,130958,130.958
48,363384,363.384
49,75173,75.173
50,322572,322.572
51,65970,65.97
52,110329,110.329
53,92861,92.861
54,376758,376.758
55,120257,120.257
56,298067,298.067
57,62845,62.845
58,76607,76.607
59,80364,80.364
60,70801,70.801
61,365715,365.715
62,73537,73.537
63,90927,90.927
64,93484,93.484
65,93606,93.606
66,88194,88.194
67,85608,85.608
68,57012,57.012
69,397578,397.578
70,114601,114.601
71,395597,395.597
72,103910,103.91
73,291459,291.459
74,230748,230.748
75,406588,406.588
76,84715,84.715
77,380605,380.605
78,94437,94.437
79,369736,369.736
80,583808,583.808
81,358621,358.621
82,89340,89.34
83,85180,85.18
84,141507,141.507
85,435439,435.439
86,335379,335.379
87,72729,72.729
88,104102,104.102
89,410339,410.339
90,570742,570.742
91,110099,110.099
92,187231,187.231
93,80218,80.218
94,390146,390.146
95,398716,398.716
96,119057,119.057
97,96321,96.321
98,193271,193.271
99,88180,88.18
100,107500,107.5
101,187818,187.818
102,73576,73.576
103,352787,352.787
104,379239,379.239
105,76577,76.577
106,377505,377.505
107,74945,74.945
108,61413,61.413
109,250723,250.723
110,87597,87.597
111,58961,58.961
112,60192,60.192
113,248029,248.029
114,340181,340.181
115,91946,91.946
116,59460,59.46
117,82546,82.546
118,80506,80.506
119,69132,69.132
120,70836,70.836
121,95070,95.07
122,102830,102.83
123,96345,96.345
124,359634,359.634
125,357475,357.475
126,88111,88.111
127,345273,345.273
128,95766,95.766
129,105044,105.044
130,497885,497.885
131,69029,69.029
132,95424,95.424
133,76108,76.108
134,73131,73.131
135,61907,61.907
136,77120,77.12
137,318884,318.884
138,66568,66.568
139,73680,73.68
140,88629,88.629
141,100025,100.025
142,69639,69.639
143,63866,63.866
144,72596,72.596
145,478522,478.522
146,96858,96.858
147,93466,93.466
148,374627,374.627
149,78483,78.483
150,65176,65.176
151,57212,57.212
152,85614,85.614
153,80270,80.27
154,396549,396.549
155,576850,576.85
156,89352,89.352
157,95796,95.796
158,78473,78.473
159,74710,74.71
160,93460,93.46
161,88626,88.626
162,341815,341.815
163,71928,71.928
164,77589,77.589
165,70360,70.36
166,299588,299.588
167,85402,85.402
168,75802,75.802
169,138574,138.574
170,514847,514.847
171,69931,69.931
172,68090,68.09
173,71127,71.127
174,374574,374.574
175,597161,597.161
176,79762,79.762
177,78088,78.088
178,145927,145.927
179,416824,416.824
180,424866,424.866
181,68517,68.517
182,82994,82.994
183,96696,96.696
184,158876,158.876
185,413245,413.245
186,344204,344.204
187,70091,70.091
188,71099,71.099
189,405093,405.093
190,269425,269.425
191,98526,98.526
192,116903,116.903
193,116070,116.07
194,410965,410.965
195,543798,543.798
196,103389,103.389
197,88187,88.187
198,78994,78.994
199,88688,88.688
200,615026,615.026
201,89478,89.478
202,357209,357.209
203,369957,369.957
204,129472,129.472
205,117131,117.131
206,95587,95.587
207,351218,351.218
208,62608,62.608
209,79495,79.495
210,98531,98.531
211,55187,55.187
212,61161,61.161
213,374874,374.874
214,364915,364.915
215,356778,356.778
216,63280,63.28
217,81530,81.53
218,74725,74.725
219,68124,68.124
220,84212,84.212
221,77856,77.856
222,88737,88.737
223,329116,329.116
224,71772,71.772
225,64848,64.848
226,73066,73.066
227,94507,94.507
228,78224,78.224
229,404786,404.786
230,77350,77.35
231,98089,98.089
232,91022,91.022
233,84655,84.655
234,78225,78.225
235,406885,406.885
236,79422,79.422
237,62457,62.457
238,78919,78.919
239,301491,301.491
240,81480,81.48
241,53856,53.856
242,89377,89.377
243,65805,65.805
244,439155,439.155
245,139135,139.135
246,116906,116.906
247,361453,361.453
248,85183,85.183
249,164912,164.912
250,451685,451.685
251,380813,380.813
252,409871,409.871
253,100672,100.672
254,90142,90.142
255,465133,465.133
256,116027,116.027
257,73083,73.083
258,67408,67.408
259,396838,396.838
260,143390,143.39
261,73445,73.445
262,87326,87.326
263,95136,95.136
264,118351,118.351
265,72846,72.846
266,67771,67.771
267,72501,72.501
268,59561,59.561
269,92422,92.422
270,426322,426.322
271,99346,99.346
272,110451,110.451
273,97141,97.141
274,386623,386.623
275,118154,118.154
276,90973,90.973
277,82674,82.674
278,69337,69.337
279,371284,371.284
280,108921,108.921
281,103297,103.297
282,105403,105.403
283,455745,455.745
284,409536,409.536
285,104879,104.879
286,95938,95.938
287,100953,100.953
288,357302,357.302
289,390595,390.595
290,113227,113.227
291,377275,377.275
292,94466,94.466
293,385032,385.032
294,99541,99.541
295,112738,112.738
296,363801,363.801
297,375171,375.171
298,283742,283.742
299,87223,87.223
300,363799,363.799
301,73716,73.716
302,84941,84.941
303,60364,60.364
304,66124,66.124
305,79166,79.166
306,192355,192.355
307,78957,78.957
308,103421,103.421
309,111428,111.428
310,388990,388.99
311,59836,59.836
312,61808,61.808
313,59636,59.636
314,87755,87.755
315,89513,89.513
316,58036,58.036
317,354965,354.965
318,73789,73.789
319,84577,84.577
320,235493,235.493
321,347449,347.449
322,74192,74.192
323,291718,291.718
324,89221,89.221
325,90725,90.725
326,72853,72.853
327,72608,72.608
328,96847,96.847
329,364984,364.984
330,111394,111.394
331,88865,88.865
332,86243,86.243
333,91642,91.642
334,67843,67.843
335,88008,88.008
336,76086,76.086
337,60050,60.05
338,59135,59.135
339,97335,97.335
340,103595,103.595
341,338593,338.593
342,74989,74.989
343,380072,380.072
344,88247,88.247
345,449955,449.955
346,314629,314.629
347,95203,95.203
348,83647,83.647
349,87805,87.805
350,78455,78.455
351,362360,362.36
352,91261,91.261
353,79991,79.991
354,92117,92.117
355,66607,66.607
356,61693,61.693
357,329429,329.429
358,102608,102.608
359,89828,89.828
360,521905,521.905
361,91668,91.668
362,351587,351.587
363,71083,71.083
364,96309,96.309
365,336453,336.453
366,72901,72.901
367,72384,72.384
368,85662,85.662
369,131723,131.723
370,551599,551.599
371,369139,369.139
372,371228,371.228
373,59851,59.851
374,271306,271.306
375,401672,401.672
376,98185,98.185
377,305324,305.324
378,86218,86.218
379,84185,84.185
380,428495,428.495
381,99470,99.47
382,74657,74.657
383,115311,115.311
384,96413,96.413
385,546012,546.012
386,96814,96.814
387,72894,72.894
388,76760,76.76
389,364598,364.598
390,133446,133.446
391,358929,358.929
392,386126,386.126
393,95753,95.753
394,100746,100.746
395,450240,450.24
396,391571,391.571
397,93410,93.41
398,82020,82.02
399,379446,379.446
400,69720,69.72
401,64773,64.773
402,97725,97.725
403,89445,89.445
404,94443,94.443
405,90409,90.409
406,67881,67.881
407,105262,105.262
408,107301,107.301
409,89105,89.105
410,524724,524.724
411,72054,72.054
412,75488,75.488
413,65738,65.738
414,72921,72.921
415,66856,66.856
416,379742,379.742
417,382228,382.228
418,82361,82.361
419,86730,86.73
420,89871,89.871
421,61904,61.904
422,83350,83.35
423,62340,62.34
424,69981,69.981
425,296583,296.583
426,360236,360.236
427,70194,70.194
428,97260,97.26
429,102150,102.15
430,113957,113.957
431,91093,91.093
432,83036,83.036
433,217008,217.008
434,87330,87.33
435,81638,81.638
436,83227,83.227
437,187231,187.231
438,335578,335.578
439,80004,80.004
440,405938,405.938
441,60208,60.208
442,335594,335.594
443,81303,81.303
444,70132,70.132
445,612826,612.826
446,76596,76.596
447,316375,316.375
448,73926,73.926
449,77292,77.292
450,86016,86.016
451,92993,92.993
452,89944,89.944
453,72695,72.695
454,95483,95.483
455,235559,235.559
456,64991,64.991
457,94522,94.522
458,451125,451.125
459,119913,119.913
460,409071,409.071
461,91025,91.025
462,97848,97.848
463,86306,86.306
464,351213,351.213
465,82796,82.796
466,267287,267.287
467,79227,79.227
468,59145,59.145
469,84820,84.82
470,99284,99.284
471,75402,75.402
472,77099,77.099
473,69943,69.943
474,375886,375.886
475,451117,451.117
476,125373,125.373
477,305883,305.883
478,60311,60.311
479,131075,131.075
480,237892,237.892
481,385651,385.651
482,99808,99.808
483,71898,71.898
484,324425,324.425
485,375976,375.976
486,115363,115.363
487,88471,88.471
488,354627,354.627
489,330346,330.346
490,660721,660.721
491,388880,388.88
492,138092,138.092
493,122871,122.871
494,377174,377.174
495,570702,570.702
496,125449,125.449
497,81167,81.167
498,69427,69.427
499,96396,96.396
500,90956,90.956
501,84157,84.157
502,93852,93.852
503,61209,61.209
504,88833,88.833
505,360929,360.929
506,80050,80.05
507,256209,256.209
508,55591,55.591
509,417141,417.141
510,99293,99.293
511,89690,89.69
512,98193,98.193
513,85640,85.64
514,71699,71.699
515,579850,579.85
516,60375,60.375
517,81503,81.503
518,78364,78.364
519,69096,69.096
520,83796,83.796
521,354421,354.421
522,346844,346.844
523,80415,80.415
524,73961,73.961
525,117441,117.441
526,199714,199.714
527,96096,96.096
528,95987,95.987
529,351251,351.251
530,520825,520.825
531,81320,81.32
532,368692,368.692
533,90452,90.452
534,89392,89.392
535,100643,100.643
536,84059,84.059
537,181167,181.167
538,81712,81.712
539,82571,82.571
540,346081,346.081
541,77931,77.931
542,93398,93.398
543,331586,331.586
544,78539,78.539
545,186207,186.207
546,103036,103.036
547,320650,320.65
548,63320,63.32
549,74051,74.051
550,85545,85.545
551,87659,87.659
552,68918,68.918
553,62917,62.917
554,311677,311.677
555,363109,363.109
556,264054,264.054
557,360412,360.412
558,67196,67.196
559,69852,69.852
560,137286,137.286
561,74408,74.408
562,75455,75.455
563,62508,62.508
564,81882,81.882
565,83983,83.983
566,66761,66.761
567,96310,96.31
568,66334,66.334
569,94776,94.776
570,107232,107.232
571,86507,86.507
572,117034,117.034
573,72539,72.539
574,84385,84.385
575,92063,92.063
576,74716,74.716
577,106729,106.729
578,122237,122.237
579,141745,141.745
580,82000,82.0
581,85905,85.905
582,84059,84.059
583,77238,77.238
584,95579,95.579
585,84519,84.519
586,153186,153.186
587,90618,90.618
588,113280,113.28
589,109334,109.334
590,98654,98.654
591,100502,100.502
592,95314,95.314
593,86999,86.999
594,95669,95.669
595,131733,131.733
596,114711,114.711
597,95570,95.57
598,82575,82.575
599,82391,82.391
600,286668,286.668
601,73447,73.447
602,88975,88.975
603,103569,103.569
604,76695,76.695
605,86959,86.959
606,89802,89.802
607,69766,69.766
608,62582,62.582
609,67958,67.958
610,63769,63.769
611,132413,132.413
612,93719,93.719
613,93141,93.141
614,122842,122.842
615,75775,75.775
616,58211,58.211
617,65943,65.943
618,63104,63.104
619,66495,66.495
620,78377,78.377
621,73468,73.468
622,64863,64.863
623,103260,103.26
624,73441,73.441
625,83567,83.567
626,70593,70.593
627,70521,70.521
628,81957,81.957
629,79836,79.836
630,79713,79.713
631,68809,68.809
632,76264,76.264
633,72890,72.89
634,75820,75.82
635,90039,90.039
636,44954,44.954
637,61028,61.028
638,54272,54.272
639,66080,66.08
640,62145,62.145
641,59321,59.321
642,63282,63.282
643,58528,58.528
644,69605,69.605
645,260435,260.435
