packet_counter,decrypt_time_ns,decrypt_time_us
1,2472530,2472.53
2,116937,116.937
3,124322,124.322
4,77963,77.963
5,86893,86.893
6,76081,76.081
7,98275,98.275
8,85226,85.226
9,93322,93.322
10,110465,110.465
11,98832,98.832
12,85152,85.152
13,74392,74.392
14,113716,113.716
15,123534,123.534
16,285790,285.79
17,127101,127.101
18,117595,117.595
19,85831,85.831
20,113030,113.03
21,77087,77.087
22,108367,108.367
23,103903,103.903
24,80148,80.148
25,89022,89.022
26,140051,140.051
27,87705,87.705
28,68738,68.738
29,92379,92.379
30,88652,88.652
31,81289,81.289
32,80651,80.651
33,72915,72.915
34,70004,70.004
35,98924,98.924
36,109060,109.06
37,187209,187.209
38,114951,114.951
39,149748,149.748
40,110498,110.498
41,86759,86.759
42,98509,98.509
43,92761,92.761
44,112230,112.23
45,110933,110.933
46,81835,81.835
47,96172,96.172
48,76092,76.092
49,76175,76.175
50,77505,77.505
51,73544,73.544
52,115152,115.152
53,118963,118.963
54,72974,72.974
55,110720,110.72
56,92015,92.015
57,115106,115.106
58,101909,101.909
59,102700,102.7
60,140585,140.585
61,90986,90.986
62,90311,90.311
63,99654,99.654
64,78805,78.805
65,74804,74.804
66,72284,72.284
67,106090,106.09
68,117224,117.224
69,118830,118.83
70,116442,116.442
71,83736,83.736
72,123738,123.738
73,86433,86.433
74,84252,84.252
75,70420,70.42
76,85985,85.985
77,148327,148.327
78,173464,173.464
79,111495,111.495
80,137128,137.128
81,155358,155.358
82,378561,378.561
83,319303,319.303
84,105134,105.134
85,109798,109.798
86,140391,140.391
87,134520,134.52
88,337422,337.422
89,97519,97.519
90,102681,102.681
91,100753,100.753
92,144600,144.6
93,144298,144.298
94,106572,106.572
95,94338,94.338
96,152998,152.998
97,138802,138.802
98,400871,400.871
99,86925,86.925
100,93223,93.223
101,82366,82.366
102,101769,101.769
103,81769,81.769
104,111414,111.414
105,89972,89.972
106,105342,105.342
107,110174,110.174
108,343163,343.163
109,87271,87.271
110,99702,99.702
111,107667,107.667
112,94869,94.869
113,78829,78.829
114,113306,113.306
115,138331,138.331
116,79219,79.219
117,84645,84.645
118,135987,135.987
119,114554,114.554
120,125209,125.209
121,138484,138.484
122,92923,92.923
123,114720,114.72
124,67548,67.548
125,80655,80.655
126,66487,66.487
127,93046,93.046
