packet_counter,decrypt_time_ns,decrypt_time_us
1,1818490,1818.49
2,268535,268.535
3,75708,75.708
4,90147,90.147
5,73502,73.502
6,82576,82.576
7,92395,92.395
8,134797,134.797
9,93667,93.667
10,77969,77.969
11,80954,80.954
12,204855,204.855
13,49450,49.45
14,64722,64.722
15,59414,59.414
16,79863,79.863
17,67456,67.456
18,395698,395.698
19,64236,64.236
20,59509,59.509
21,66420,66.42
22,69616,69.616
23,63897,63.897
24,64094,64.094
25,57209,57.209
26,77502,77.502
27,79298,79.298
28,201403,201.403
29,87921,87.921
30,67062,67.062
31,74646,74.646
32,77050,77.05
33,71412,71.412
34,59559,59.559
35,44906,44.906
36,51365,51.365
37,51212,51.212
38,43794,43.794
39,47145,47.145
40,41908,41.908
41,61756,61.756
42,199089,199.089
43,67952,67.952
44,73331,73.331
45,68349,68.349
46,62573,62.573
47,122230,122.23
48,164397,164.397
49,52199,52.199
50,46630,46.63
51,60432,60.432
52,78637,78.637
53,53615,53.615
54,50451,50.451
55,55719,55.719
56,60899,60.899
57,70374,70.374
58,47508,47.508
59,51490,51.49
60,48320,48.32
61,60976,60.976
62,63521,63.521
63,81129,81.129
64,307896,307.896
65,43164,43.164
66,51668,51.668
67,78228,78.228
68,53046,53.046
69,53097,53.097
70,50680,50.68
71,50403,50.403
72,61008,61.008
73,43484,43.484
74,149276,149.276
75,40431,40.431
76,51484,51.484
77,48944,48.944
78,42796,42.796
79,51634,51.634
80,42518,42.518
81,53800,53.8
82,54635,54.635
83,48026,48.026
84,153406,153.406
85,40884,40.884
86,46950,46.95
87,51571,51.571
88,45587,45.587
89,47795,47.795
90,50037,50.037
91,67240,67.24
92,109366,109.366
93,46852,46.852
94,48592,48.592
95,42274,42.274
96,53016,53.016
97,49438,49.438
98,44922,44.922
99,46386,46.386
100,46271,46.271
101,66566,66.566
102,74241,74.241
103,50159,50.159
104,57444,57.444
105,63011,63.011
106,289228,289.228
107,59548,59.548
108,52872,52.872
109,52881,52.881
110,48907,48.907
111,62997,62.997
112,64964,64.964
113,48337,48.337
114,54445,54.445
115,46530,46.53
116,73671,73.671
117,71792,71.792
118,181753,181.753
119,72960,72.96
120,173471,173.471
121,70581,70.581
122,65582,65.582
123,78042,78.042
124,65377,65.377
125,54756,54.756
126,87774,87.774
127,65496,65.496
128,66689,66.689
129,63230,63.23
130,53352,53.352
131,57128,57.128
132,52590,52.59
133,44580,44.58
134,50655,50.655
135,46133,46.133
136,53163,53.163
137,51377,51.377
138,46759,46.759
139,45167,45.167
140,44461,44.461
141,100591,100.591
142,69253,69.253
143,63512,63.512
144,59612,59.612
145,48716,48.716
146,52113,52.113
147,54655,54.655
148,52335,52.335
149,46621,46.621
150,42822,42.822
151,119381,119.381
152,68674,68.674
153,53718,53.718
154,49027,49.027
155,60157,60.157
156,54036,54.036
157,105867,105.867
158,46100,46.1
159,48209,48.209
160,42580,42.58
161,156113,156.113
162,148900,148.9
163,42649,42.649
164,155519,155.519
165,41536,41.536
166,61273,61.273
167,80706,80.706
168,71388,71.388
169,68796,68.796
170,55276,55.276
171,50843,50.843
172,48618,48.618
173,45936,45.936
174,46259,46.259
175,44023,44.023
176,83522,83.522
177,49152,49.152
178,43546,43.546
179,50493,50.493
180,48935,48.935
181,48112,48.112
182,62018,62.018
183,42573,42.573
184,49175,49.175
185,45472,45.472
186,51329,51.329
187,68492,68.492
188,42529,42.529
189,44682,44.682
190,53188,53.188
191,71703,71.703
192,78441,78.441
193,187011,187.011
194,54804,54.804
195,41929,41.929
196,155653,155.653
197,85070,85.07
198,89644,89.644
199,74177,74.177
200,157119,157.119
201,76916,76.916
202,92801,92.801
203,69849,69.849
204,66356,66.356
205,61334,61.334
206,69900,69.9
207,77356,77.356
208,202484,202.484
209,52829,52.829
