packet_counter,encrypt_time_ns,encrypt_time_us
1,1326037,1326.037
2,117924,117.924
3,171193,171.193
4,393697,393.697
5,89825,89.825
6,78803,78.803
7,243308,243.308
8,112352,112.352
9,89996,89.996
10,121447,121.447
11,104459,104.459
12,133711,133.711
13,110462,110.462
14,148021,148.021
15,160547,160.547
16,96646,96.646
17,109601,109.601
18,93222,93.222
19,86351,86.351
20,309838,309.838
21,74143,74.143
22,85934,85.934
23,125138,125.138
24,71268,71.268
25,79026,79.026
26,63629,63.629
27,79591,79.591
28,99798,99.798
29,97786,97.786
30,343111,343.111
31,66050,66.05
32,86669,86.669
33,91553,91.553
34,108895,108.895
35,127685,127.685
36,102196,102.196
37,423957,423.957
38,145108,145.108
39,111286,111.286
40,93600,93.6
41,149618,149.618
42,117475,117.475
43,127728,127.728
44,113243,113.243
45,162305,162.305
46,94610,94.61
47,99771,99.771
48,111488,111.488
49,130038,130.038
50,148784,148.784
51,107278,107.278
52,106975,106.975
53,102534,102.534
54,81783,81.783
55,92149,92.149
56,273819,273.819
57,111653,111.653
58,104354,104.354
59,136463,136.463
60,77133,77.133
61,70551,70.551
62,76194,76.194
63,101197,101.197
64,61716,61.716
65,70672,70.672
66,77017,77.017
67,111719,111.719
68,126187,126.187
69,348930,348.93
70,99325,99.325
71,95666,95.666
72,121990,121.99
73,124493,124.493
74,76252,76.252
75,100219,100.219
76,105871,105.871
77,156789,156.789
78,347415,347.415
79,133451,133.451
80,122676,122.676
81,97110,97.11
82,134190,134.19
83,168567,168.567
84,151447,151.447
85,427464,427.464
86,90102,90.102
87,136999,136.999
88,170241,170.241
89,127999,127.999
90,173026,173.026
91,118558,118.558
92,119549,119.549
93,193791,193.791
94,109347,109.347
95,136290,136.29
96,142975,142.975
97,112188,112.188
98,108849,108.849
99,115833,115.833
100,103487,103.487
101,339563,339.563
102,148017,148.017
103,128488,128.488
104,74156,74.156
105,79573,79.573
106,71022,71.022
107,87496,87.496
108,102391,102.391
109,76914,76.914
110,94783,94.783
111,135617,135.617
112,174226,174.226
113,76428,76.428
114,67880,67.88
115,217652,217.652
116,114200,114.2
117,127029,127.029
118,466013,466.013
119,86857,86.857
120,101163,101.163
121,85664,85.664
122,127351,127.351
123,129800,129.8
124,79007,79.007
125,88019,88.019
126,86125,86.125
127,98473,98.473
128,96780,96.78
129,101838,101.838
130,85232,85.232
131,93062,93.062
132,452553,452.553
133,215218,215.218
134,123961,123.961
135,132380,132.38
136,156337,156.337
137,113928,113.928
138,321238,321.238
139,91593,91.593
140,117447,117.447
141,101443,101.443
142,108449,108.449
143,125484,125.484
144,102356,102.356
145,122009,122.009
146,104182,104.182
147,145298,145.298
148,92554,92.554
149,416763,416.763
150,115632,115.632
151,99889,99.889
152,121808,121.808
153,92581,92.581
154,93424,93.424
155,90676,90.676
156,91012,91.012
157,187674,187.674
158,238820,238.82
159,104280,104.28
160,290307,290.307
161,263978,263.978
162,67668,67.668
163,92492,92.492
164,116822,116.822
165,91309,91.309
166,288182,288.182
167,106125,106.125
168,222404,222.404
169,88072,88.072
170,108204,108.204
171,96084,96.084
172,71487,71.487
173,81464,81.464
174,65490,65.49
175,50188,50.188
176,70142,70.142
177,85620,85.62
178,294047,294.047
179,163403,163.403
180,115250,115.25
181,119944,119.944
182,136687,136.687
183,241340,241.34
184,65184,65.184
185,95410,95.41
186,69125,69.125
187,119015,119.015
188,102082,102.082
189,118532,118.532
190,146302,146.302
191,76409,76.409
192,171144,171.144
193,106330,106.33
194,90138,90.138
195,121073,121.073
196,75075,75.075
197,226053,226.053
198,153785,153.785
199,91551,91.551
200,96904,96.904
201,63561,63.561
202,72883,72.883
203,109221,109.221
204,80169,80.169
205,64000,64.0
206,63660,63.66
207,80848,80.848
208,103137,103.137
209,75665,75.665
210,98473,98.473
211,79567,79.567
212,92428,92.428
213,137019,137.019
214,73259,73.259
215,138823,138.823
216,112113,112.113
217,82010,82.01
218,77529,77.529
219,92792,92.792
220,60995,60.995
221,74811,74.811
222,97847,97.847
223,82849,82.849
224,64312,64.312
225,119965,119.965
226,78178,78.178
227,76553,76.553
228,78192,78.192
229,60236,60.236
230,66172,66.172
231,75976,75.976
232,195593,195.593
233,123343,123.343
234,67817,67.817
235,77671,77.671
236,67287,67.287
237,74183,74.183
238,73315,73.315
239,55860,55.86
240,98787,98.787
241,76206,76.206
242,83432,83.432
243,66908,66.908
244,132545,132.545
245,76199,76.199
246,71886,71.886
247,82979,82.979
248,113036,113.036
249,116019,116.019
250,122994,122.994
251,97370,97.37
252,89717,89.717
253,86190,86.19
254,99448,99.448
255,165442,165.442
256,131455,131.455
257,93462,93.462
258,105216,105.216
259,69284,69.284
260,92938,92.938
261,64296,64.296
262,60455,60.455
263,58738,58.738
264,57938,57.938
265,71365,71.365
266,70637,70.637
267,154603,154.603
268,109534,109.534
269,161831,161.831
270,98415,98.415
271,135856,135.856
272,111496,111.496
273,122308,122.308
274,73505,73.505
275,64358,64.358
276,257346,257.346
277,77832,77.832
278,71854,71.854
279,148913,148.913
280,161496,161.496
281,119434,119.434
282,105371,105.371
283,129955,129.955
284,141846,141.846
285,88454,88.454
286,210551,210.551
287,120211,120.211
288,158186,158.186
289,120804,120.804
290,547284,547.284
291,75043,75.043
292,101410,101.41
293,226421,226.421
294,87861,87.861
295,74335,74.335
296,65532,65.532
297,141971,141.971
298,122491,122.491
299,102915,102.915
300,226360,226.36
301,106188,106.188
302,127988,127.988
303,91722,91.722
304,64700,64.7
305,86325,86.325
306,71468,71.468
307,139209,139.209
308,109937,109.937
309,83958,83.958
310,90611,90.611
311,84121,84.121
312,81684,81.684
313,138151,138.151
314,76526,76.526
315,92123,92.123
316,80922,80.922
317,71530,71.53
318,64596,64.596
319,138004,138.004
320,103308,103.308
321,87263,87.263
322,89773,89.773
323,77561,77.561
324,62956,62.956
325,136053,136.053
326,61131,61.131
327,64658,64.658
328,73590,73.59
329,70051,70.051
330,74454,74.454
331,71609,71.609
332,77976,77.976
333,81854,81.854
334,137969,137.969
335,89037,89.037
336,81841,81.841
337,80111,80.111
338,83594,83.594
339,89785,89.785
340,74695,74.695
341,55987,55.987
342,71061,71.061
343,163486,163.486
344,113014,113.014
345,76581,76.581
346,80471,80.471
347,72518,72.518
348,80105,80.105
349,60220,60.22
350,145841,145.841
351,140984,140.984
352,87996,87.996
353,77923,77.923
354,154448,154.448
355,69985,69.985
356,65307,65.307
357,65290,65.29
358,79576,79.576
359,96419,96.419
360,75457,75.457
361,134076,134.076
362,77956,77.956
363,96976,96.976
364,68573,68.573
365,127429,127.429
366,72055,72.055
367,149302,149.302
368,123781,123.781
369,78531,78.531
370,97806,97.806
371,72398,72.398
372,85717,85.717
373,66686,66.686
374,88521,88.521
375,68489,68.489
376,67038,67.038
377,86300,86.3
378,107541,107.541
379,113697,113.697
380,156668,156.668
381,75494,75.494
382,143317,143.317
383,182530,182.53
384,77077,77.077
385,67684,67.684
386,83840,83.84
387,99862,99.862
388,105578,105.578
389,105597,105.597
390,110951,110.951
391,97643,97.643
392,125178,125.178
393,112064,112.064
394,98813,98.813
395,170690,170.69
396,86341,86.341
397,101517,101.517
398,187281,187.281
399,152443,152.443
400,66744,66.744
401,67998,67.998
402,145727,145.727
403,132644,132.644
404,83377,83.377
405,102419,102.419
406,75536,75.536
407,73906,73.906
408,85949,85.949
409,69276,69.276
410,70143,70.143
411,70647,70.647
412,70884,70.884
413,66597,66.597
414,66810,66.81
415,75290,75.29
416,75666,75.666
417,102694,102.694
418,69227,69.227
419,75176,75.176
420,79968,79.968
421,100591,100.591
422,88331,88.331
423,74437,74.437
424,83233,83.233
425,89223,89.223
426,109605,109.605
427,82990,82.99
428,74013,74.013
429,74739,74.739
430,127898,127.898
431,91992,91.992
432,92815,92.815
433,109790,109.79
434,118545,118.545
435,83817,83.817
436,101057,101.057
437,65396,65.396
438,126321,126.321
439,60791,60.791
440,83858,83.858
441,59225,59.225
442,88039,88.039
443,74551,74.551
444,69722,69.722
445,86712,86.712
446,73553,73.553
447,98191,98.191
448,119608,119.608
449,89788,89.788
450,86994,86.994
451,85937,85.937
452,82792,82.792
